"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Login functionality","SUCCESS","2019-05-15T09:43:25.329746Z[Etc/UTC]","0.0","178.27"
"Lookup Feature","Looking up the definition of 'pear'","SUCCESS","2019-05-15T09:43:29.986751Z[Etc/UTC]","0.0","176.03"
